SMILES,KELAS,C,O,B,N,P,S,F,Cl,Br,Z,@,I,COC,=,[O-],C=C,N+,C=O,:,.,-,+,[],(),#
F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+],1,0,0,0,7,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,7,2,7,0,10,0
CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C,1,36,3,0,3,0,0,0,0,0,6,0,0,0,12,0,3,0,0,0,0,0,0,0,15,0
C[Si](C)(C)O[Si](C)(C)C,1,26,4,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
C=CC(=O)[O-].[Na+],1,5,11,0,5,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,5,5,5,0,5,0
C1CCC2C(C1)C(=O)OC2=O,1,38,14,0,0,0,0,0,0,0,19,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0
COCCOCCOCCOCCOCCOCCOCCOC1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC=C)O,1,21,4,0,1,0,0,0,0,0,15,0,0,12,3,0,3,0,0,0,0,0,0,0,4,0
[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Zn+2].[Zn+2].[Zn+2],1,0,13,0,0,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,6,10,5,0,6,0
[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1,0,11,0,0,2,0,0,0,0,8,0,0,0,2,0,0,0,0,0,8,8,8,0,5,0
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,26,4,0,0,0,0,0,0,0,4,0,0,16,2,0,4,0,0,0,0,0,0,0,2,0
CCCCCCCCCCCC(=O)OCC(CO)O,1,62,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0
[C-]#[Si+],1,10,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10
CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,1,18,12,0,0,0,9,0,0,0,9,0,0,0,6,0,0,0,0,0,3,0,0,0,12,0
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,1,36,6,0,0,0,0,0,0,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,15,0
CC1CO1.C1CO1,1,41,16,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,1,27,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,1,51,19,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,8,0
